participant_id,date,duration,pt_word,participant_response,en_word,real,trial_score
002,2026-07-28 12:02:23,608,padrasto,0,stepfather,1,0
002,2026-07-28 12:02:23,608,lembrança,1,memory,1,1
002,2026-07-28 12:02:23,608,lareita,1,NA,0,-2
002,2026-07-28 12:02:23,608,urtiga,0,nettle,1,0
002,2026-07-28 12:02:23,608,emerro,1,NA,0,-2
002,2026-07-28 12:02:23,608,hedionda,1,NA,0,-2
002,2026-07-28 12:02:23,608,inalação,0,inhalation,1,0
002,2026-07-28 12:02:23,608,jusante,1,downstream,1,1
002,2026-07-28 12:02:23,608,comunhão,0,fellowship,1,0
002,2026-07-28 12:02:23,608,curvere,1,NA,0,-2
002,2026-07-28 12:02:23,608,piejo,0,NA,0,0
002,2026-07-28 12:02:23,608,careta,0,grimace,1,0
002,2026-07-28 12:02:23,608,inferior,1,inferior,1,1
002,2026-07-28 12:02:23,608,molecular,1,molecular,1,1
002,2026-07-28 12:02:23,608,centiga,1,NA,0,-2
002,2026-07-28 12:02:23,608,propósito,0,purpose,1,0
002,2026-07-28 12:02:23,608,espólio,1,spoils,1,1
002,2026-07-28 12:02:23,608,sonila,0,NA,0,0
002,2026-07-28 12:02:23,608,vinhala,0,NA,0,0
002,2026-07-28 12:02:23,608,loucura,1,madness,1,1
002,2026-07-28 12:02:23,608,grato,1,grateful,1,1
002,2026-07-28 12:02:23,608,cadente,1,falling,1,1
002,2026-07-28 12:02:23,608,avesso,0,averse,1,0
002,2026-07-28 12:02:23,608,descarga,1,unloading,1,1
002,2026-07-28 12:02:23,608,durarma,0,NA,0,0
002,2026-07-28 12:02:23,608,retruque,1,replica,1,1
002,2026-07-28 12:02:23,608,cicatriz,1,scar,1,1
002,2026-07-28 12:02:23,608,golabo,1,NA,0,-2
002,2026-07-28 12:02:23,608,evidência,1,evidence,1,1
002,2026-07-28 12:02:23,608,retórica,1,rhetoric,1,1
002,2026-07-28 12:02:23,608,remoto,1,remote,1,1
002,2026-07-28 12:02:23,608,âncorre,1,NA,0,-2
002,2026-07-28 12:02:23,608,farneiza,0,NA,0,0
002,2026-07-28 12:02:23,608,infinito,1,infinite,1,1
002,2026-07-28 12:02:23,608,clamode,0,NA,0,0
002,2026-07-28 12:02:23,608,pífaro,0,flute,1,0
002,2026-07-28 12:02:23,608,barrasa,1,NA,0,-2
002,2026-07-28 12:02:23,608,leopardo,1,leopard,1,1
002,2026-07-28 12:02:23,608,tenro,0,tender,1,0
