survey_duration,date,participant_id,question_code,participant_response
651,2026-09-24 11:53:12,001,Madeira_contact_1,NA
651,2026-09-24 11:53:12,001,Madeira_contact_2,NA
651,2026-09-24 11:53:12,001,Madeira_contact_3,NA
651,2026-09-24 11:53:12,001,Madeira_contact_4,NA
651,2026-09-24 11:53:12,001,Madeira_contact_5,NA
651,2026-09-24 11:53:12,001,Madeira_notes,NA
651,2026-09-24 11:53:12,001,Moçambique_contact_1,NA
651,2026-09-24 11:53:12,001,Moçambique_contact_2,NA
651,2026-09-24 11:53:12,001,Moçambique_contact_3,NA
651,2026-09-24 11:53:12,001,Moçambique_contact_4,NA
651,2026-09-24 11:53:12,001,Moçambique_contact_5,NA
651,2026-09-24 11:53:12,001,Moçambique_notes,NA
651,2026-09-24 11:53:12,001,Portugal_1,Diariamente
651,2026-09-24 11:53:12,001,Portugal_2,Várias vezes por semana
651,2026-09-24 11:53:12,001,Portugal_3,Cada semana
651,2026-09-24 11:53:12,001,Portugal_4,Uma vez por mês
651,2026-09-24 11:53:12,001,Portugal_5,Cada semana
651,2026-09-24 11:53:12,001,Portugal_notes,NA
651,2026-09-24 11:53:12,001,São_Tomé_contact_1,NA
651,2026-09-24 11:53:12,001,São_Tomé_contact_2,NA
651,2026-09-24 11:53:12,001,São_Tomé_contact_3,NA
651,2026-09-24 11:53:12,001,São_Tomé_contact_4,NA
651,2026-09-24 11:53:12,001,São_Tomé_contact_5,NA
651,2026-09-24 11:53:12,001,São_Tomé_notes,NA
651,2026-09-24 11:53:12,001,Timor-Leste_contact_1,NA
651,2026-09-24 11:53:12,001,Timor-Leste_contact_2,NA
651,2026-09-24 11:53:12,001,Timor-Leste_contact_3,NA
651,2026-09-24 11:53:12,001,Timor-Leste_contact_4,NA
651,2026-09-24 11:53:12,001,Timor-Leste_contact_5,NA
651,2026-09-24 11:53:12,001,Timor_Leste_notes,NA
651,2026-09-24 11:53:12,001,Other_contact_1,NA
651,2026-09-24 11:53:12,001,Other_contact_2,NA
651,2026-09-24 11:53:12,001,Other_contact_3,NA
651,2026-09-24 11:53:12,001,Other_contact_4,NA
651,2026-09-24 11:53:12,001,Other_contact_5,NA
651,2026-09-24 11:53:12,001,Other_notes,NA
