sentence_code,target_segment,lexical_item,phonological_context,stress,aspa_frequency,port_sentence,eng_translation,observation
01,strong r,rádio,#RV,1,20020,Eu ouço rádio para saber as últimas notícias.,I listen to the radio to hear the latest news.,
02,strong r,rainha,#RV,0,9207,A rainha é a mulher do rei.,The queen is the king’s wife.,
03,strong r,garrafa,VRV,1,8276,A garrafa de cerveja está cheia.,The beer bottle is full.,
04,strong r,barra,VRV,0,10713,Eu quero comer uma barra de chocolate.,I want to eat a chocolate bar.,
05,strong r,carro,VRV,0,62766,O carro é vermelho.,The car is red.,Minimal pair with caro.
06,weak r,barata,VrV,1,"3,885",Tem uma barata no chão.,There is a cockroach on the floor.,
07,weak r,cara,VrV,0,"22,483",Eu jogo a moeda para sair cara ou coroa.,I throw the coin to get heads or tails.,
08,weak r,caro,VrV,0,"9,266",O carro é mais caro que a bicicleta.,The car is more expensive than the bicycle.,Minimal pair with carro
09,weak r,tráfico,#CrV,1,"12,754",O tráfico de drogas é um problema nas fronteiras.,Drug trafficking is a problem at borders.,
10,weak r,trabalho,#CrV,0,"129,023",A criatividade é uma vantagem do trabalho em equipe.,Creativity is an advantage of team work.,
11,word-medial coda,carta,Vc$,1,23774,Eu coloco a carta no envelope.,I put the letter in the envelope.,
12,word-medial coda,cartão,Vc$,0,15274,Para pagar com cartão é preciso saber a senha.,In order to pay by card it is necessary to know the PIN number.,
13,word-medial coda,barco,Vc$,1,6195,Um passeio de barco é uma boa forma de relaxar.,A boat trip is a good way to relax.,
14,word-medial coda,arquitetura,Vc$,0,8665,A arquitetura é a arte de projetar construções.,Architecture is the art of designing buildings.,
15,word-final coda: monosyllabic noun,mar,Vc#C,1,21625,Para um navegador inexperiente o mar pode ser perigoso.,"For an inexperienced sailor, the sea can be dangerous.","Monosyllabic nouns ending in -er, -ir, -ur not present in the ASPA corpus or semantically unsuitable for sentence completion task"
16,word-final coda: monosyllabic noun,mar,Vc#V,1,21625,O mar é vasto e azul.,The sea is vast and blue.,"Monosyllabic nouns ending in -er, -ir, -ur not present in the ASPA corpus or semantically unsuitable for sentence completion task"
17,word-final coda: monosyllabic noun,mar,Vc##,1,21625,A tartaruga é um animal que vive no mar.,The turtle is an animal that lives in the sea.,"Monosyllabic nouns ending in -er, -ir, -ur not present in the ASPA corpus or semantically unsuitable for sentence completion task"
