sentence_code,target_segment,lexical_item,phonological_context,stress,aspa_frequency,port_sentence,eng_translation,observation
18,word-final coda: monosyllabic noun,dor,Vc#C,1,10131,Estou com dor de cabeça.,I have a headache.,
19,word-final coda: monosyllabic noun,dor,Vc#V,1,10131,Sinto uma dor insuportável nas costas.,I feel unbearable pain in my back.,
20,word-final coda: monosyllabic noun,dor,Vc##,1,10131,Uma má postura pode causar dor.,A bad posture can cause pain.,
21,word-final coda: polysyllabic noun,mulher,Vc#C,1,70112,"O homem tem cabelo castanho, e a mulher tem cabelo louro.","The man has brown hair, and the woman has blonde hair.","Stressed -ar, -ir, -ur nouns not present in the ASPA corpus or semantically unsuitable for sentence completion task"
22,word-final coda: polysyllabic noun,mulher,Vc#V,1,70112,A mulher é mais alta que o homem.,The woman is taller than the man.,"Stressed -ar, -ir, -ur nouns not present in the ASPA corpus or semantically unsuitable for sentence completion task"
23,word-final coda: polysyllabic noun,mulher,Vc##,1,70112,O homem é mais alto que a mulher.,The man is taller than the woman.,"Stressed -ar, -ir, -ur nouns not present in the ASPA corpus or semantically unsuitable for sentence completion task"
24,word-final coda: polysyllabic noun,computador,Vc#C,1,20532,"O computador tem um monitor, um teclado e um mouse.","The computer has a screen, a keyboard and a mouse.",
25,word-final coda: polysyllabic noun,computador,Vc#V,1,20532,Escrever no computador é mais fácil que à mão.,Writing on the computer is easier than by hand.,
26,word-final coda: polysyllabic noun,computador,Vc##,1,20532,Três pessoas estão usando o computador.,Three people are using the computer.,
27,word-final coda: polysyllabic noun,açúcar,Vc#C,0,9801,O açúcar pode ser substituído por adoçante.,Sugar can be replaced with sweetener.,
28,word-final coda: polysyllabic noun,açúcar,Vc#V,0,9801,O açúcar é doce.,Sugar is sweet.,
29,word-final coda: polysyllabic noun,açúcar,Vc##,0,9801,O café pode ser consumido com leite e açúcar.,Coffee can be consumed with milk and sugar.,
30,word-final code: melhor and maior,melhor,Vc#C,1,119542,Gostei muito do filme. A melhor parte foi a perseguição.,I liked the movie a lot. The best part was the chase.,
31,word-final code: melhor and maior,melhor,Vc#V,1,119542,O Pedro é meu melhor amigo.,Pedro is my best friend.,
32,word-final code: melhor and maior,maior,Vc#C,1,175984,O elefante é maior que o rato.,The elephant is bigger than the mouse.,
33,word-final code: melhor and maior,maior,Vc#V,1,175984,A baleia-azul é o maior animal do mundo.,The blue whale is the biggest animal in the world.,
34,word-final coda: monosyllabic verb,dar,Vc#C,1,69635,Não vai dar tempo de eu chegar na hora.,There is not enough time for me to get there on time.,
35,word-final coda: monosyllabic verb,dar,Vc#V,1,69635,Eu vou dar um presente para minha amiga.,I'm going to give my friend a present.,
36,word-final coda: monosyllabic verb,dar,Vc##,1,69635,Preciso consertar meu carro mas hoje já não vai dar.,I need to fix my car but today it's not possible anymore.,
37,word-final coda: monosyllabic verb,ser,Vc#C,1,514408,Eu quero ser professor quando crescer.,I want to be a teacher when I grow up.,
38,word-final coda: monosyllabic verb,ser,Vc#V,1,514408,Eu quero ser um bom amigo para você.,I want to be a good friend to you.,
39,word-final coda: monosyllabic verb,ser,Vc##,1,514408,Estou ansioso para saber minha nota. Não sei qual vai ser.,I'm eager to know my grade. I don't know what it will be.,
40,word-final coda: monosyllabic verb,ir,Vc#C,1,38938,Quero ir para a praia.,I want to go to the beach.,
41,word-final coda: monosyllabic verb,ir,Vc#V,1,38938,Eu preciso ir ao supermercado.,I need to go to the supermarket.,
42,word-final coda: monosyllabic verb,ir,Vc##,1,38938,Estou perdido. Não sei para onde eu devo ir.,I'm lost. I don't know where to go.,
43,word-final coda: two-syllable verb,falar,Vc#C,1,39119,Na biblioteca é preciso falar baixo.,In the library you need to talk quietly.,
44,word-final coda: two-syllable verb,falar,Vc#V,1,39119,É bom saber falar uma língua estrangeira.,It's good to know a foreign language.,
45,word-final coda: two-syllable verb,falar,Vc##,1,39119,Estou com dor de garganta e não consigo falar.,I have a sore throat and I can't speak.,
46,word-final coda: two-syllable verb,fazer,Vc#C,1,165380,A Luísa quer fazer cócegas nos pés do Pedro.,Luísa wants to tickle Pedro's feet.,
47,word-final coda: two-syllable verb,fazer,Vc#V,1,165380,Amanhã a Luísa vai fazer oito anos.,Tomorrow Luísa will be eight years old.,
48,word-final coda: two-syllable verb,fazer,Vc##,1,165380,Tenho que encontrar uma solução. Não sei o que devo fazer.,I have to find a solution. I don't know what I should do.,
49,word-final coda: two-syllable verb,sair,Vc#C,1,30091,Não posso sair de casa porque estou de castigo.,I can't leave the house because I'm grounded.,
50,word-final coda: two-syllable verb,sair,Vc#V,1,30091,A Maria quer sair à noite com suas amigas.,Maria wants to go out at night with her friends.,
51,word-final coda: two-syllable verb,sair,Vc##,1,30091,Estou perdido no labirinto e não consigo sair.,I'm lost in the labyrinth and can't find my way out.,
52,misc,qualquer,Vc#C,1,87041,O João ama a Maria. Ele faria qualquer coisa por ela.,João loves Maria. He would do anything for her.,
53,misc,qualquer,Vc#V,1,87041,A Maria pode comprar o carro que quiser. Ela pode comprar qualquer um.,Maria can buy any car she wants. She can buy any car.,
54,misc,por,Vc#C,1,1273087,Não posso sair de casa por causa da gripe.,I can't leave the house because of the flu.,
55,misc,por,Vc#V,1,1273087,O João quase morreu. A vida dele estava por um fio.,João almost died. His life was hanging by a thread.,
56,misc,besouro,VrV or VRV,0,208,O besouro é um inseto que tem uma casca dura.,The beetle is an insect that has a hard shell.,
57,misc,guelras,VrV or VRV,0,24,Com as guelras os peixes respiram.,"With gills, fish breathe.",
